datetime,id,output_kW
2024-09-27 02:00:00+00:00,WT3,2291.265296936035
2024-09-27 03:00:00+00:00,WT3,2300.0
2024-09-27 04:00:00+00:00,WT3,2300.0
2024-09-27 05:00:00+00:00,WT3,2300.0
2024-09-27 06:00:00+00:00,WT3,2300.0
2024-09-27 07:00:00+00:00,WT3,2300.0
2024-09-27 08:00:00+00:00,WT3,2300.0
2024-09-27 09:00:00+00:00,WT3,2300.0
2024-09-27 10:00:00+00:00,WT3,2300.0
2024-09-27 11:00:00+00:00,WT3,2300.0
2024-09-27 12:00:00+00:00,WT3,2300.0
2024-09-27 13:00:00+00:00,WT3,2300.0
2024-09-27 14:00:00+00:00,WT3,2300.0
2024-09-27 15:00:00+00:00,WT3,2300.0
2024-09-27 16:00:00+00:00,WT3,2201.730613708496
2024-09-27 17:00:00+00:00,WT3,2300.0
2024-09-27 18:00:00+00:00,WT3,2219.792137145996
2024-09-27 19:00:00+00:00,WT3,2005.4432678222656
2024-09-27 20:00:00+00:00,WT3,1822.7671305338542
2024-09-27 21:00:00+00:00,WT3,1882.7476501464844
2024-09-27 22:00:00+00:00,WT3,1666.4957682291667
2024-09-27 23:00:00+00:00,WT3,1505.9951782226562
2024-09-28 00:00:00+00:00,WT3,2159.945945739746
2024-09-28 01:00:00+00:00,WT3,966.3227081298828
2024-09-28 02:00:00+00:00,WT3,992.491340637207
2024-09-28 03:00:00+00:00,WT3,2300.0
2024-09-28 04:00:00+00:00,WT3,2300.0
2024-09-28 05:00:00+00:00,WT3,2259.8582458496094
2024-09-28 06:00:00+00:00,WT3,2300.0
2024-09-28 07:00:00+00:00,WT3,2274.2395782470703
2024-09-28 08:00:00+00:00,WT3,2206.6904830932617
2024-09-28 09:00:00+00:00,WT3,2197.893295288086
2024-09-28 10:00:00+00:00,WT3,2225.439796447754
2024-09-28 11:00:00+00:00,WT3,2167.709617614746
2024-09-28 12:00:00+00:00,WT3,2181.918830871582
2024-09-28 13:00:00+00:00,WT3,2228.372116088867
2024-09-28 14:00:00+00:00,WT3,2208.198928833008
2024-09-28 15:00:00+00:00,WT3,2190.4754638671875
2024-09-28 16:00:00+00:00,WT3,2161.890640258789
2024-09-28 17:00:00+00:00,WT3,2176.876678466797
2024-09-28 18:00:00+00:00,WT3,2188.2334518432617
2024-09-28 19:00:00+00:00,WT3,2133.3877563476562
2024-09-28 20:00:00+00:00,WT3,2099.25048828125
2024-09-28 21:00:00+00:00,WT3,2015.88623046875
2024-09-28 22:00:00+00:00,WT3,2057.0751190185547
2024-09-28 23:00:00+00:00,WT3,2065.3635025024414
2024-09-29 00:00:00+00:00,WT3,2145.4746627807617
2024-09-29 01:00:00+00:00,WT3,2100.872917175293
2024-09-29 02:00:00+00:00,WT3,2161.4533615112305
2024-09-29 03:00:00+00:00,WT3,2160.4324340820312
2024-09-29 04:00:00+00:00,WT3,2058.1204223632812
2024-09-29 05:00:00+00:00,WT3,1835.894266764323
2024-09-29 06:00:00+00:00,WT3,1693.0287679036458
2024-09-29 07:00:00+00:00,WT3,1362.0216369628906
2024-09-29 08:00:00+00:00,WT3,1095.0874328613281
2024-09-29 09:00:00+00:00,WT3,1015.9603118896484
2024-09-29 10:00:00+00:00,WT3,1002.2491455078125
2024-09-29 11:00:00+00:00,WT3,1127.4612426757812
2024-09-29 12:00:00+00:00,WT3,1059.6931457519531
2024-09-29 13:00:00+00:00,WT3,888.0414962768555
2024-09-29 14:00:00+00:00,WT3,679.2751312255859
2024-09-29 15:00:00+00:00,WT3,416.278076171875
2024-09-29 16:00:00+00:00,WT3,246.5179443359375
2024-09-29 17:00:00+00:00,WT3,200.0
2024-09-29 18:00:00+00:00,WT3,200.0
2024-09-29 19:00:00+00:00,WT3,200.0
2024-09-29 20:00:00+00:00,WT3,280.1852226257324
2024-09-29 21:00:00+00:00,WT3,545.5844879150391
2024-09-29 22:00:00+00:00,WT3,649.3701934814453
2024-09-29 23:00:00+00:00,WT3,663.0846977233887
2024-09-30 00:00:00+00:00,WT3,723.3762741088867
2024-09-30 01:00:00+00:00,WT3,993.9943313598633
